file,modulation,symbol_rate_gbaud,blocks,stored_evm_db,redemod_evm_db,block_cpe_evm_db,block_cpe_improvement_db,block_complex_gain_evm_db,block_complex_gain_improvement_db,block_phase_spread_deg,eq_mode
Data_fIF11_fsym2_P-8_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,2.0,4.0,-25.165,-25.164811365632605,-25.164835096382483,2.373074987715995e-05,-25.16538788259411,0.0005765169615052912,0.0073838298748536415,phase+noeq
Data_fIF11_fsym4_P-7_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,4.0,7.0,-23.374,-23.37445735853082,-23.374470731020867,1.3372490048624286e-05,-23.375020231043443,0.0005628725126243239,0.006871988884194299,phase+eq
Data_fIF11_fsym8_P-7_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,8.0,7.0,-19.756,-19.75604879989705,-19.75682510922407,0.0007763093270192201,-19.758887323180677,0.002838523283624994,0.07871642540354565,phase+noeq
Data_fIF11_fsym10_P-7_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,10.0,10.0,-19.802,-19.80246285781602,-19.80289379911872,0.0004309413026994946,-19.80466693409007,0.002204076274047395,0.058382338512195826,phase+noeq
Data_fIF11_fsym12_P-7_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,12.0,9.0,-18.708,-18.707918239148857,-18.70816302628768,0.0002447871388220335,-18.708760858154136,0.000842619005279488,0.049997903775086845,phase+noeq
Data_fIF11_fsym17_P-7_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,17.0,17.0,-16.497,-16.497063574870026,-16.49717212445957,0.00010854958954453764,-16.498272671497144,0.0012090966271181003,0.04319455902901674,phase+noeq
Data_fIF11_fsym20_P-8_fRF280_DFT-s-OFDM_32QAM_Iph7.npz,32QAM,20.0,10.0,-15.768,-15.767767267472552,-15.76788669916521,0.00011943169265826725,-15.77057597673037,0.00280870925781862,0.04938746798467358,phase+noeq
